Gene	kon	koff	OR	Zero_Zero	FullCorr	FullCorr_Ubiq	Ubiq
Wdr43	1.05514341	1.73760671	5.785714286			0	
AU019823	0.59151722	3.2326836	5.783625731			0	
Cttnbp2nl	0.03293578	0.05743977	5.775			0	
Foxk1	0.09850549	0.77334969	5.775			0	
Trps1	0.53726598	115.9957528	5.769230769			0	
Etv6	0.71302925	4.08088257	5.733333333			0	
Mapkap1	0.60023517	59.36378433	5.729166667			0	
Slc39a1	0.12851693	7.65274301	5.727272727			0	
2310009B15Rik	0.06402341	0.99811955	5.666666667			0	
Cbx4	0.01947501	1.57679234	5.666666667			0	
Cbx5	1.20157161	4.26932908	5.666666667			0	
Kif24	0.0036956	0.07068174	5.666666667			0	
Nae1	2.6564779	379.8779952	5.666666667			0	
Nip7	1.41953398	6.98632581	5.666666667			0	
Nop16	2.19329669	296.1967111	5.666666667			0	
Akap11	0.557547	0.75852446	5.6			0	
Ccl25	0.29734244	56.12921016	5.583333333			0	
Cdca8	0.86778297	1.15687236	5.571428571			0	
Ncapg	0.96867399	0.92028079	5.571428571			0	
Abhd8	0.06618653	1.50681215	5.555555556			0	
Hmha1	0.0759482	1.20227133	5.555555556			0	
Scoc	0.0540913	0.36758292	5.555555556			0	
Tbrg1	1.84638043	19.10120251	5.555555556			0	
Zfp120	0.11544562	1.12583079	5.555555556			0	
Zfp707	0.0781032	0.80705224	5.555555556			0	
Nceh1	0.16441137	1.32193001	5.535714286			0	
Rtkn	0.4206055	67.4429092	5.526315789			0	
Rad50	0.63098047	2.07207837	5.517241379			0	
Dact2	0.11083421	0.47214146	5.5			0	
Hpdl	0.0490536	0.21406622	5.5			0	
Mdm4	0.77653249	105.0494477	5.484375			0	
Syne1	0.09239276	1.23455176	5.461538462			0	
Ccnb2	1.11391664	1.73762234	5.454545455			0	
Dis3l2	0.24076638	0.82289391	5.454545455			0	
Eef1e1	0.79875042	0.97584486	5.454545455			0	
Kat2b	0.19597812	0.98210086	5.454545455			0	
Mex3c	0.12621714	1.45695177	5.454545455			0	
Mtmr10	0.19687362	67.84533607	5.454545455			0	
Mxra7	0.12517516	1.51355695	5.454545455			0	
Fgd4	0.33710852	17.13868199	5.446153846			0	
Rnf11	0.30243342	2.37612897	5.4375			0	
AW549877	1.40827635	2.78019233	5.428571429			0	
Rpa3	0.82234979	2.34960186	5.428571429			0	
Serpine2	0.07998766	0.74616607	5.428571429			0	
Lsm12	0.12975217	0.43832047	5.409090909			0	
Tmem64	0.03672411	0.11599389	5.409090909			0	
Abhd5	0.08093255	0.53052488	5.4			0	
Osbpl8	0.05327537	0.71230559	5.4			0	
Ptpn14	0.10881339	3.10723869	5.4			0	
Rrp1	1.16050926	1.73815858	5.4			0	
S100a6	1.64E-02	5.24E-01	5.4			0	
Sgsm1	0.0745798	2.74743953	5.4			0	
Sort1	0.1126152	1.68652008	5.4			0	
Tpmt	0.11214411	0.98701605	5.4			0	
Lpl	0.06216006	2.46062956	5.381818182			0	
Scrn3	0.30825612	1.26355239	5.381818182			0	
Arhgef10l	0.38607629	9.10550195	5.363636364			0	
Clns1a	1.078786	1.63700295	5.357142857			0	
Ddit4	0.45852496	2.15454072	5.357142857			0	
Parl	2.33510872	172.8597392	5.357142857			0	
Rhbdf1	0.0761309	0.39656799	5.357142857			0	
Spred1	0.09839111	1.13898725	5.357142857			0	
Ppfibp2	0.12346442	1.02210545	5.333333333			0	
Atn1	0.03232619	0.6429356	5.3125			0	
Samm50	2.11499451	13.59032797	5.3125			0	
Smarcd3	0.27448595	5.53541396	5.307692308			0	
Gltpd1	0.27265486	127.536344	5.306122449			0	
Rnf166	0.18261999	22.42564664	5.306122449			0	
Kif2c	0.86051942	3.09304152	5.292857143			0	
Epb4.1l1	0.02096276	0.06287365	5.288888889			0	
Ric8b	2.19E-01	1.76E+02	5.288888889			0	
Ung	2.20060862	458.5206501	5.288888889			0	
Acads	1.6596985	6.40732894	5.25			0	
Sh3yl1	0.3849947	0.95972538	5.236363636			0	
Rbak	0.12334436	2.46716548	5.221052632			0	
Anp32b	2.58754964	481.6524833	5.1875			0	
Klf4	1.53075789	3.2578357	5.1875			0	
Ostc	1.06254975	1.91802211	5.1875			0	
Pomc	0.06949634	1.36122288	5.1875			0	
Rpl6	0.0385015	0.56768291	5.1875			0	
Gfod2	0.11773055	0.69084302	5.185185185			0	
Actl6a	1.39012604	1.79719307	5.181818182			0	
Kcnk6	0.12594508	2.30434059	5.181818182			0	
Osbpl11	0.50790991	4.158198	5.181818182			0	
Pcid2	0.72298124	125.9729589	5.176470588			0	
Ssbp2	0.1120373	0.22207505	5.166666667			0	
Heatr5b	0.31822209	1.93839483	5.160714286			0	
Arhgef17	0.09353371	0.43139596	5.142857143			0	
Naprt1	0.22229509	103.4894735	5.142857143			0	
Psmg1	1.33927478	9.25929875	5.142857143			0	
Rgp1	0.09668447	3.59112841	5.142857143			0	
Zfp446	0.14853264	17.43899298	5.142857143			0	
Dbi	2.47687545	15.41046172	5.133333333			0	
Decr1	0.06340002	0.28356625	5.133333333			0	
Gtf2e2	2.3160344	36.26344873	5.131578947			0	
Isca1	0.61812854	5.00396297	5.084210526			0	
Clcc1	0.1018671	0.4333396	5.0625			0	
Herc4	0.25606419	1.04724864	5.025			0	
Qpct	0.21335379	1.01921554	5.025			0	
Glt8d1	0.50445225	94.88437738	5.010989011			0	
Ccdc134	0.00347727	0.0171003	5			0	
Cdca2	0.43835333	1.22321723	5			0	
Dnaja2	2.55766538	311.5549744	5			0	
Gas2l3	1.0819509	2.64368694	5			0	
Metap2	1.94103257	59.63531144	5			0	
Mtus1	0.2311583	0.4855742	5			0	
Prr5l	0.03991218	0.49682356	5			0	
Ptpn21	0.02207618	0.08947991	5			0	
Rrbp1	1.92382443	5.42333037	5			0	
Sec22a	0.59759468	100.8131762	5			0	
Zfp52	0.19270613	1.93550987	5			0	
Lrrc1	0.51440779	124.2152846	4.961111111			0	
Klhl28	0.03985027	0.21899083	4.933333333			0	
Spryd3	0.18119755	1.71034348	4.930555556			0	
Ssna1	1.05458578	2.33514281	4.928571429			0	
Trp53i13	0.09799715	1.31111512	4.928571429			0	
Srd5a3	0.17438445	2.79693086	4.885416667			0	
Apbb2	0.92170552	89.07624632	4.875			0	
Slc39a11	0.48811842	135.6782767	4.871345029			0	
Cdkn1c	1.13E-01	8.76E+01	4.866666667			0	
Larp4b	0.72565307	1.57422191	4.855172414			0	
Rilpl1	0.19211166	12.01273138	4.846153846			0	
Tmed1	0.95370972	1.35965292	4.841269841			0	
Map2k5	0.28685506	49.75788282	4.833333333			0	
Uros	0.47863521	112.4910809	4.829545455			0	
Zfp661	0.27118476	4.03767959	4.814814815			0	
Cks2	0.7668403	0.93163797	4.8125			0	
Dhx34	0.01289653	0.05708201	4.8125			0	
Kif21b	0.04558027	0.32786469	4.8125			0	
Pfn2	0.12309367	6.30235267	4.8125			0	
Fut8	0.5010259	72.30029472	4.807407407			0	
Ube2c	0.58028894	3.54697597	4.807407407			0	
Uchl1	0.35649714	2.11532433	4.77540107			0	
Mink1	0.51065831	96.00540292	4.732142857			0	
Krba1	0.1678192	20.56399246	4.727272727			0	
Mrpl18	1.13817991	6.59960807	4.727272727			0	
Fastkd5	0.32374484	1.65385952	4.722222222			0	
Seh1l	2.07640976	185.1793835	4.704545455			0	
Slc35a3	0.15577627	3.87991899	4.704545455			0	
Lin54	0.19493171	17.13559883	4.698412698			0	
Fdft1	0.56628707	2.25481722	4.691176471			0	
Nagk	0.13985162	3.41384146	4.69			0	
Copz2	0.16022783	1.27044793	4.6875			0	
Scfd2	0.13513744	1.97358918	4.685950413			0	
Aurkb	0.68926162	1.25569615	4.685714286			0	
Pus1	0.99583414	27.5149376	4.685714286			0	
Rbp1	0.33329407	15.63249895	4.685714286			0	
Jag1	0.07042851	0.02381305	4.67816092			0	
Bag2	2.97E-02	1.32E+01	4.666666667			0	
Etf1	1.00522153	0.92666755	4.666666667			0	
Hmgn3	0.03953925	0.74835924	4.666666667			0	
Ranbp6	0.05766578	0.98997056	4.666666667			0	
Slc45a4	0.27736703	2.30695828	4.666666667			0	
Sod2	0.78943761	1.18868761	4.666666667			0	
Tfrc	2.18499803	56.76010358	4.666666667			0	
Tsn	1.69559544	5.01668383	4.666666667			0	
Trp53bp2	0.00218251	0.00580092	4.664			0	
Tyms	2.42099937	126.2680134	4.625			0	
Ociad1	1.03430585	0.95160134	4.61038961			0	
Pus3	0.22491179	16.79046105	4.608695652			0	
Phc2	0.1123273	0.31195755	4.581818182			0	
Ctnnb1	1.64934101	9.39559602	4.571428571			0	
Eri2	0.14195767	11.19665813	4.571428571			0	
Pcyt1a	0.04463038	1.46748222	4.571428571			0	
Sarnp	0.08634488	0.16743756	4.571428571			0	
Slbp	1.75958877	114.5930191	4.571428571			0	
Acyp2	0.08694182	2.07929278	4.56			0	
Gorab	0.04130421	0.2957541	4.56			0	
Lysmd4	0.20740783	17.676982	4.56			0	
Tor1aip1	0.18612341	0.49689561	4.56			0	
Slc25a1	1.43299816	4.88665652	4.555555556			0	
Selm	0.2130637	77.61117385	4.538461538			0	
Bola1	0.16449364	0.43254856	4.529411765			0	
Epn1	0.74892963	5.48314308	4.523809524			0	
Prkd3	0.42113353	4.58263448	4.523809524			0	
Akap2	0.73003948	6.52023749	4.518518519			0	
Fam160b1	0.24414631	13.04527555	4.506944444			0	
Slc12a4	0.39127985	120.6539508	4.5			0	
Klf6	0.27343368	57.97729244	4.483516484			0	
Vps4a	0.31951771	48.1007935	4.483516484			0	
Fam175a	0.73030808	94.54423358	4.48			0	
Vrk2	0.43009848	12.2075426	4.460869565			0	
2310061J03Rik	0.06223101	1.23809066	4.444444444			0	
Mrps14	0.12949012	0.3476019	4.444444444			0	
Prkab2	0.06389248	3.72405763	4.444444444			0	
Lrig1	0.07460452	0.63396859	4.4375			0	
Cant1	0.52179177	26.9904517	4.430769231			0	
Polr1d	1.16085888	1.7365208	4.430769231			0	
Zfp239	0.18663278	1.5361673	4.428571429			0	
Mfsd8	0.03097527	0.25110542	4.424242424			0	
Rhoa	1.93238806	35.73917015	4.424242424			0	
Gga2	0.84053736	2.83271474	4.421052632			0	
Gjb3	1.66531199	5.54087664	4.388888889			0	
Ascl2	3.49E-01	3.54E+02	4.384615385			0	
Tubb2a	1.25662634	442.565087	4.365591398			0	
Tirap	0.20961016	28.05709467	4.364705882			0	
Btg2	0.28169459	2.14350353	4.363636364			0	
Rab8b	0.19750558	3.11999849	4.34			0	
Cxxc5	0.6402798	7.82692449	4.338541667			0	
Cd55	0.31304019	5.91781446	4.338235294			0	
Apod	0.38332557	2.9177987	4.333333333			0	
Papss1	0.29092639	0.60093372	4.333333333			0	
Tmem189	0.51455667	50.35003327	4.333333333			0	
Usp32	0.14233148	0.18177821	4.333333333			0	
Yipf2	0.08812481	0.94173648	4.333333333			0	
F2rl1	0.84707071	183.7840304	4.324561404			0	
Arfip1	0.36339783	101.6613453	4.285714286			0	
Wdr24	0.31112408	1.00390717	4.285714286			0	
Capn10	0.19331683	6.26189227	4.269230769			0	
Rnf31	0.32415694	1.37135091	4.266666667			0	
Top1	0.68245834	1.25725113	4.253333333			0	
Hells	0.31052803	0.09256937	4.25			0	
l7Rn6	1.10675892	5.45885603	4.25			0	
Arhgdig	0.07196534	0.85707253	4.222222222			0	
Cenpa	1.12702321	2.88415883	4.222222222			0	
Nop14	1.29101108	1.77170495	4.222222222			0	
Bmpr1a	0.27571262	0.3372433	4.201923077			0	
Anapc5	2.29773286	7.81903916	4.2			0	
Exosc8	1.37573828	3.11396742	4.2			0	
Rbm39	1.50317733	3.47794929	4.2			0	
Slc12a6	0.00526792	0.05387242	4.2			0	
Slc33a1	0.03761756	0.46754805	4.2			0	
Usp14	2.82480471	9.20568836	4.2			0	
Hist1h1b	0.25872001	1.76599541	4.180555556			0	
Large	0.21489194	24.12077816	4.171428571			0	
Mllt1	0.19337213	3.69425758	4.171428571			0	
Ankib1	0.09633566	0.93472607	4.166666667			0	
Dhx32	1.32151576	1.68657496	4.166666667			0	
Socs3	0.40609781	2.66487074	4.166666667			0	
Dym	0.48559298	0.91010337	4.147058824			0	
Cdc27	0.88410046	23.18474724	4.142857143			0	
Cox16	0.21326438	1.91516758	4.142857143			0	
Zfp770	0.20835764	1.98008154	4.142857143			0	
Atf5	0.14846498	1.42131698	4.121212121			0	
Mettl10	0.15282834	1.2573266	4.121212121			0	
Pgm2	0.68524411	121.506217	4.117647059			0	
Nphp4	0.05033916	0.43266391	4.107142857			0	
Tmem30a	0.29893098	1.00816492	4.102564103			0	
Tbc1d4	0.09983906	0.40117685	4.102040816			0	
Ermp1	0.3793663	0.92830362	4.098039216			0	
Utp3	1.17847419	2.22005599	4.098039216			0	
2200002D01Rik	0.08461733	8.09376148	4.090909091			0	
Hoxc13	1.76E-01	2.16E+02	4.090909091			0	
Jun	0.01165215	0.11339837	4.090909091			0	
Lipe	0.06901722	0.233003	4.090909091			0	
Lzts2	0.05538219	1.66567311	4.090909091			0	
Sgk3	0.14048786	20.70315756	4.090909091			0	
Tspan9	0.01597878	0.10422215	4.090909091			0	
Usp38	0.52753605	1.75796941	4.074074074			0	
Alg1	0.49681975	1.82407626	4.072727273			0	
Sart3	0.87102024	2.02926094	4.072727273			0	
Mtmr4	0.06780431	0.16363823	4.071428571			0	
Pea15a	0.08180607	4.00580409	4.071428571			0	
Tacc3	1.1905714	1.65703457	4.071428571			0	
Irf2bp1	0.2072248	0.3379719	4.067307692			0	
Fam110a	0.23133899	2.09925766	4.066666667			0	
Dsn1	0.36731301	59.24250136	4.063492063			0	
Gadd45a	0.62143577	88.34622249	4.063492063			0	
Atp6v1b2	1.37791617	141.3832465	4.0625			0	
Slc35e1	0.18075256	2.53483193	4.0625			0	
Fen1	1.68384281	4.81155353	4.058823529			0	
Acap2	0.07101793	1.10674605	4.055555556			0	
Adnp	0.08566144	0.15630952	4.055555556			0	
Erbb2ip	0.18072812	2.72697625	4.055555556			0	
Mrpl33	2.95610967	351.4491666	4.05			0	
Vdac1	3.41229246	638.7098057	4.05			0	
Cdc34	2.96913197	71.5670068	4			0	
Haus4	0.66170629	1.40150302	4			0	
Ipo13	0.17778944	1.12318395	4			0	
Map3k12	1.15763302	842.4880265	4			0	
Ppie	2.19000603	41.69325696	4			0	
Tnfsf9	0.21219317	7.90440627	4			0	
Tyw3	0.01962414	0.08798489	4			0	
St3gal2	0.48335392	147.0104832	3.995			0	
Zfp668	0.48812207	146.8635904	3.995			0	
Exosc10	0.64479955	1.63946118	3.991304348			0	
Snapc1	0.77104975	7.33601246	3.982222222			0	
4930558J18Rik	0.23666613	6.2623156	3.977272727			0	
Cdc14b	0.08389042	0.70073345	3.977272727			0	
Idh2	0.71187952	1.08303104	3.977272727			0	
Stag1	0.36169475	1.63973254	3.970588235			0	
Cdc37	1.52550393	3.3646431	3.952380952			0	
Map3k6	0.04302893	0.57547953	3.952380952			0	
Plxdc2	0.00236951	0.03704137	3.952380952			0	
Ap3d1	1.13775748	1.0933358	3.95			0	
Wdr61	1.18177263	1.87045838	3.95			0	
Ldlr	1.82055859	46.82704548	3.941176471			0	
Brpf1	0.71127493	21.65113058	3.932773109			0	
Anxa2	2.02E-01	7.29E+01	3.928571429			0	
Homer2	0.15044057	2.17420859	3.921428571			0	
Dhx33	0.44413402	2.93105802	3.909090909			0	
Lima1	0.98522088	3.30886908	3.9			0	
Rab43	0.14069421	12.03256236	3.9			0	
Srsf2	1.9088517	11.72890964	3.9			0	
Taf7	2.28435081	154.8367645	3.9			0	
Rpl10a	0.41989682	0.27469375	3.897435897			0	
Zdhhc5	0.09897946	0.23457681	3.888888889			0	
Slc4a11	0.13986018	0.64205265	3.876923077			0	
Tlk2	0.1483554	0.62281736	3.876923077			0	
Sgsm2	0.25444375	1.51919968	3.873015873			0	
Copg2	0.4792458	7.88088358	3.868421053			0	
Gjb4	0.01656728	0.05013793	3.865384615			0	
Commd3	1.06222822	149.2386681	3.857142857			0	
Med16	0.18220629	0.94708556	3.857142857			0	
Rcn3	0.49219864	20.84577848	3.846153846			0	
Hgsnat	0.60836876	4.89625162	3.833333333			0	
Mki67	0.83952671	3.51587096	3.827777778			0	
Orai1	0.63480502	142.0535289	3.826086957			0	
Txnip	0.14138396	1.56739886	3.8125			0	
Kifc3	0.08237124	1.17669691	3.807017544			0	
Arhgap12	0.54682336	0.52963723	3.8			0	
Rhoc	0.46718599	8.4857315	3.8			0	
Mcat	0.26413144	2.53733201	3.791666667			0	
Pqlc2	4.77E-01	7.93E+02	3.791666667			0	
Fam126a	0.13580013	2.13058892	3.791208791			0	
Pom121	0.18073591	0.78851771	3.791208791			0	
Pop1	0.42593212	44.08216408	3.791208791			0	
Calcoco1	0.37616946	0.64684585	3.787878788			0	
Fam43a	0.2858657	53.06731464	3.782051282			0	
Racgap1	0.84439087	2.19197809	3.782051282			0	
Ppp1r9b	0.24270275	0.83109758	3.78125			0	
Smn1	1.11669859	1.72548253	3.777777778			0	
Vezf1	0.23903379	3.19548717	3.777777778			0	
Mlh3	1.02325385	112.9514617	3.771428571			0	
Rab34	0.20734065	1.19833193	3.771428571			0	
Rrp15	0.68139726	1.29958899	3.771428571			0	
Ldlrap1	0.06072777	0.11013859	3.769230769			0	
Foxj2	0.01557818	0.10418422	3.761904762			0	
Ndufs4	1.75594543	4.79161416	3.761904762			0	
Ssb	1.12083926	1.80430102	3.761904762			0	
Ywhaz	2.49492637	380.0743486	3.761904762			0	
Zc3h11a	2.68334686	44.84820929	3.761904762			0	
Atic	2.28980172	25.19003323	3.75			0	
Ccna2	0.32616847	0.37466751	3.75			0	
Lmnb1	1.22567168	1.37441484	3.75			0	
Pcolce	1.63899845	438.3852231	3.75			0	
Pno1	0.95849014	0.98979205	3.75			0	
Rpp30	0.65026176	1.33214291	3.75			0	
Srgap2	0.20836927	0.60232504	3.75			0	
Tbce	0.33870205	41.61821698	3.75			0	
Tmem219	0.42364614	33.98226307	3.75			0	
Ap1g2	0.66051508	101.9103085	3.746606335			0	
Mad2l1bp	0.31690596	2.34588551	3.746606335			0	
Acbd6	0.8717448	36.78581765	3.744939271			0	
Cblb	0.03856005	0.17991657	3.74025974			0	
Ppargc1b	0.16142862	7.27647663	3.74025974			0	
Vti1a	0.26059344	3.28424952	3.74025974			0	
Slc39a6	0.11744243	0.1471116	3.733333333			0	
Zc3h4	0.22241705	0.76801965	3.733333333			0	
Ccdc66	0.1222298	1.15257634	3.722222222			0	
Zfp644	0.03294045	0.11461871	3.722222222			0	
AI413582	0.73493631	10.75472062	3.7125			0	
Ankrd24	0.13477608	1.52651459	3.705882353			0	
Cd97	0.72673065	173.5661644	3.705882353			0	
Coq7	0.82208552	1.00102128	3.705882353			0	
Klf9	0.28979493	0.24789874	3.6875			0	
AW209491	0.52468152	79.09942292	3.68			0	
Dock9	0.4968314	8.44688827	3.675			0	
Car13	0.11531756	2.36962964	3.674074074			0	
Casp6	0.35278851	63.17882732	3.674074074			0	
Dnajb2	0.16761599	1.1047336	3.674074074			0	
Fbxl18	0.45436303	161.7010472	3.669421488			0	
Ap2s1	0.90561204	10.15945697	3.666666667			0	
Rp9	1.60907417	25.93890921	3.666666667			0	
Alg2	0.24048195	3.18970051	3.654545455			0	
Trnt1	0.90534344	4.87540475	3.645833333			0	
Coro1c	0.90485786	0.83121608	3.641025641			0	
Zfp113	0.17801536	1.80431813	3.641025641			0	
Mbp	0.07169335	5.23361866	3.636363636			0	
Gm6654	0.28701387	0.13042783	3.631578947			0	
Pdgfa	1.88300013	15.33681768	3.631578947			0	
Ccdc88a	0.33249816	0.58356753	3.62745098			0	
Metap1d	0.73254743	67.84093459	3.62745098			0	
Nbas	0.41445112	6.5404039	3.626373626			0	
Nutf2	0.61353474	123.1173718	3.626373626			0	
Sec11a	0.23016889	0.3337846	3.623529412			0	
Itfg1	0.50500941	81.27959404	3.615384615			0	
Cdc42bpa	0.36180011	1.67413704	3.605769231			0	
Cald1	2.28E-01	7.87E+01	3.605405405			0	
Cisd2	0.05840091	0.20667041	3.6			0	
E2f8	0.30057822	2.20062375	3.6			0	
Hspbap1	2.41421626	120.4317791	3.6			0	
Phactr4	0.60185545	157.4060494	3.6			0	
Rbpms	1.33339312	15.8574719	3.6			0	
U2af2	0.50248569	0.8056923	3.588541667			0	
Cenpj	0.32660622	4.36445872	3.580952381			0	
Atp6v0b	2.35613006	436.1267619	3.571428571			0	
Nek1	0.06652911	0.34701511	3.571428571			0	
Ptp4a2	1.80762789	156.2584486	3.571428571			0	
Slc35a5	0.19051383	72.1889144	3.571428571			0	
Spcs2	1.55717177	7.79010272	3.571428571			0	
Cdc73	0.45551514	7.52402947	3.566964286			0	
Cdc42ep5	0.56973326	18.31274847	3.557894737			0	
Slc7a5	1.0471933	1.82453602	3.555555556			0	
Fam76a	0.56002425	12.87999323	3.554545455			0	
Dhrs13	2.10E-01	1.54E+02	3.542857143			0	
Rc3h2	0.1529423	0.45097456	3.535714286			0	
Pros1	0.15077453	0.30297643	3.523809524			0	
Elovl6	1.46707705	3.57028949	3.515625			0	
Ppm1g	1.5337283	3.8185327	3.515625			0	
Src	0.20627417	0.59790621	3.515306122			0	
C87436	0.2583069	3.89934994	3.515151515			0	
BC005537	0.47481867	15.1219652	3.5			0	
Ckap2l	0.39815878	0.62677268	3.5			0	
Tmem184b	0.44762489	5.99761136	3.5			0	
Uck1	0.09124814	0.82397407	3.5			0	
1110051M20Rik	0.07256152	0.25791611	3.489583333			0	
Bub1	0.70491603	1.64756783	3.489583333			0	
Snrnp25	1.23672067	20.81084836	3.484848485			0	
Ccdc32	0.14208859	0.64393392	3.470588235			0	
Ephb2	0.05511778	0.17605672	3.468531469			0	
Pdcd10	0.18874855	0.34672409	3.468531469			0	
Prmt2	0.01375603	0.07661161	3.466666667			0	
Capg	0.30490923	73.84937933	3.461538462			0	
Id3	0.13568058	1.12590599	3.461538462			0	
Zfp69	0.03888095	0.10930546	3.461538462			0	
Dad1	1.62102892	4.2087097	3.458333333			0	
Dnmbp	0.01780296	0.26120171	3.458333333			0	
Mon1a	0.03873596	1.37889469	3.458333333			0	
Tapbpl	0.08268027	0.75719174	3.458333333			0	
Cdo1	0.14848632	1.54141674	3.446153846			0	
Rit1	0.01992498	0.0764772	3.446153846			0	
Scamp3	1.07067038	2.51206691	3.446153846			0	
F2r	0.51648234	16.74024256	3.444444444			0	
Prdx6	0.73791023	1.31141508	3.444444444			0	
Pdk1	0.54094964	2.43367781	3.4375			0	
Cdc25c	0.45757911	4.33350547	3.437037037			0	
Mcph1	0.89196466	2.89034012	3.434210526			0	
Ncor2	0.4202968	46.98432054	3.433497537			0	
Rlf	0.8318143	0.94892222	3.431952663			0	
Lsm11	0.31883027	9.01873586	3.429824561			0	
Golga5	0.41101531	2.61342808	3.428571429			0	
Slc25a46	0.44464333	14.38099265	3.428571429			0	
Fez2	0.40643872	6.44204303	3.422222222			0	
Smap1	0.12048188	0.25655237	3.422222222			0	
Atp6v0e	2.02150543	6.54791878	3.416666667			0	
Homer3	0.06924011	1.07189739	3.416666667			0	
Pm20d1	0.02030745	0.59489328	3.416666667			0	
Srp9	3.80622514	288.5819189	3.416666667			0	
Nsun4	0.70799881	73.50338903	3.415384615			0	
Zbtb7b	0.40160003	59.90747434	3.414141414			0	
Fam63b	0.15604097	0.33392474	3.405797101			0	
Abcg2	0.39629925	1.92390213	3.402777778			0	
Rab3ip	0.31148349	39.10479143	3.402777778			0	
Tmem184c	0.30273817	2.31674964	3.4			0	
Tpm1	4.18E-01	2.09E+02	3.397058824			0	
Armc9	0.21465545	2.65226513	3.393939394			0	
Fam98a	0.11496959	0.78799645	3.393939394			0	
Lmnb2	0.62079246	0.4211731	3.384615385			0	
Mrps22	0.99035708	2.40864798	3.384615385			0	
Nupl2	0.33782974	2.66960142	3.384615385			0	
Rab3gap1	0.106635	0.46709047	3.384615385			0	
1-Sep	1.70117256	1.72105027	3.380952381			0	
Rmnd5a	0.41410768	1.5634717	3.376470588			0	
Klhdc10	0.24745325	0.75557153	3.375			0	
Adhfe1	0.0945461	6.44912264	3.363636364			0	
Arf3	0.88542188	2.96857548	3.363636364			0	
Gcsh	0.63380763	0.85295218	3.363636364			0	
Gprc5b	0.11766638	1.39876934	3.363636364			0	
Kifc1	1.3939911	99.66297122	3.363636364			0	
Pik3r1	0.26899734	61.20103042	3.363636364			0	
Senp7	0.07642123	0.48863328	3.363636364			0	
Pgpep1	0.50490926	1.7123207	3.348484848			0	
Zfp408	0.45084757	7.88280443	3.347368421			0	
Icam1	0.53669259	2.85704871	3.345588235			0	
Id1	0.13501387	0.69986119	3.333333333			0	
Matr3	0.31238001	0.36847929	3.333333333			0	
Mt2	0.57703971	4.07843349	3.333333333			0	
Wdr62	0.7662609	124.3759778	3.333333333			0	
Brf1	0.22131083	0.26960447	3.323076923			0	
Cdc123	1.43434829	4.0020632	3.32			0	
Hnrnpd	0.93556431	1.19841154	3.32			0	
Mdfi	0.04630038	0.46664802	3.32			0	
Mrpl28	1.05019464	1.07463224	3.32			0	
Mtf2	1.31990989	1.30503126	3.32			0	
Pias3	0.04950386	1.47786707	3.32			0	
Prpf40a	1.23309897	2.38505801	3.32			0	
Rps6ka4	0.00941594	0.1529057	3.32			0	
Cdkn2b	1.52E-01	6.53E+02	3.31875			0	
Dnajc27	0.1515108	1.11600493	3.31875			0	
Tmem109	0.11265904	0.36060854	3.31875			0	
Rpl13	0.04314115	0.29326744	3.317460317			0	
Cldn12	0.12514083	0.33172229	3.315789474			0	
Wnt5b	0.27618304	87.40535763	3.31372549			0	
Jmjd4	0.39888216	0.66737613	3.3125			0	
Polr3d	0.42855352	2.95724061	3.3			0	
Smurf1	0.13982103	0.62377661	3.3			0	
Rbbp8	0.63271198	2.37157404	3.298245614			0	
Trak2	0.39206451	1.96390174	3.298245614			0	
Wwc2	0.49999943	18.40485583	3.298245614			0	
Timm50	3.16204487	13.68926122	3.291666667			0	
Ccdc18	0.28489239	0.91321662	3.285714286			0	
Fert2	0.45542558	70.91032697	3.273809524			0	
Anxa5	0.30292589	6.78172307	3.272727273			0	
Nusap1	0.62221697	57.13330283	3.272727273			0	
Pfdn4	0.77941831	1.5198287	3.272727273			0	
Qrsl1	0.53256106	4.09354495	3.272727273			0	
Wasf2	0.43868721	0.57573921	3.272727273			0	
Ddit4l	1.62E-01	1.35E+02	3.269230769			0	
Hip1r	0.14517662	0.37569129	3.269230769			0	
Ptrh2	2.11014301	40.04110926	3.269230769			0	
Rdh14	0.13758129	0.37224273	3.269230769			0	
Gnb4	0.32275872	42.99087404	3.266666667			0	
Entpd6	0.34919184	8.44802949	3.253333333			0	
Ppcdc	0.18498601	8.20031067	3.253333333			0	
Trove2	0.35512897	1.06666222	3.252173913			0	
Epb4.1l3	0.02951556	0.43354628	3.25			0	
Stard4	0.19311957	74.93519642	3.25			0	
Rhob	0.27797586	2.91021594	3.240740741			0	
Hif1an	0.45778934	0.69722235	3.23715415			0	
Dnlz	0.49310945	0.62337481	3.21969697			0	
Lef1	0.19893169	0.69768916	3.219230769			0	
Ptpn13	0.30888062	1.71294925	3.212121212			0	
Znfx1	0.3689166	6.25618709	3.206477733			0	
Scaf4	0.28111771	0.20961634	3.205128205			0	
Slc27a3	0.33063054	4.36498242	3.192			0	
Larp7	1.18613943	1.94167491	3.183673469			0	
Mt1	0.72377935	12.75284086	3.183673469			0	
Abcb6	0.75310769	3.59860967	3.177777778			0	
Cdc42se1	0.21031172	0.39798044	3.174603175			0	
C1rl	0.05400832	0.67779023	3.171428571			0	
Chac2	0.03608141	0.25227437	3.171428571			0	
Mrpl47	0.93092584	1.00909358	3.171428571			0	
Ndst2	0.16107134	0.69468303	3.171428571			0	
