Gene	kon	koff	OR	Zero_Zero	FullCorr	FullCorr_Ubiq	Ubiq
Sae1	0.741325578	194.280442	4.684684685				
Eif2b2	0.56632921	1.84506316	4.68125				
Trap1	0.80739665	2.0900596	4.68115942				
Kdm4b	0.19766732	1.5150747	4.68				
B930041F14Rik	0.1201749	3.87683701	4.675				
Manbal	0.67228758	2.75790332	4.674743709				
Ccdc104	0.43055487	1.99121165	4.670833333				
Lrfn4	0.21480598	13.2368711	4.669738863				
Ogfrl1	0.18726325	3.23716996	4.669738863				
Cdc34	1.44401339	11.07817942	4.668449198				
Tmem106c	1.005668	144.8849437	4.666666667				
Haus8	0.26886247	2.66149511	4.662239089				
Ctnna1	1.30722505	5.06447727	4.656862745				
Mlh1	0.32884428	32.30425105	4.653532609				
Aftph	0.40999617	6.72090908	4.653144016				
Jmjd1c	0.32926111	65.93455138	4.652777778				
Col18a1	0.20238433	5.50740007	4.648351648				
Rcn3	1.04216598	7.10289199	4.644444444				
Ucp2	0.015096586	2.87026314	4.644444444				
Dcaf13	0.96572969	6.57417136	4.644230769				
Ndufs2	0.35926177	1.99230338	4.639934534				
Lrp8	0.169375915	264.852173	4.636363636				
Aldh7a1	1.22279764	27.07077774	4.62962963				
Ankrd11	0.49861121	10.4850822	4.62962963				
Atp2a2	1.3168014	7.58053088	4.62962963				
E2f6	0.10097255	1.84801154	4.62				
Idh2	0.22243809	1.39411928	4.610294118				
Rasa4	1.10195906	201.9232596	4.602240896				
Kif13a	0.26060283	9.42705222	4.6				
Hoxb13	0.61484009	90.74151945	4.594594595				
Fkbp4	0.56816563	3.66220886	4.587737844				
Glipr2	1.40621983	24.00173016	4.58677686				
Rpl17	0.69140445	88.85627772	4.577777778				
Kif21a	0.11091043	0.99952092	4.571428571				
Phgdh	0.94215092	124.0860652	4.571428571				
Yif1b	0.94443913	2.83326616	4.570526316				
Pole4	1.03125768	10.82929707	4.570048309				
Mesdc2	1.09129848	23.81940586	4.5625				
Dbf4	0.28888109	3.14089907	4.559386973				
Zfp870	0.18263481	10.41896163	4.559139785				
Phc1	0.25365615	47.95716805	4.558441558				
E2f3	0.12981906	1.11196542	4.557721139				
Ctsf	0.585764	135.1571972	4.555555556				
3110082I17Rik	0.30459821	14.38821009	4.5546875				
Mus81	0.27196766	2.80728991	4.549090909				
Arl4c	0.24510904	2.57473747	4.548494983				
Cbx5	0.80594399	3.5175114	4.544318182				
Polr3f	0.28409077	0.70769671	4.543478261				
Tspan14	0.05487882	0.39128847	4.541176471				
Nolc1	0.83266854	15.04836677	4.536796537				
Snrpa1	0.95625069	60.69617452	4.533613445				
Tes	1.00176265	367.250861	4.53125				
Gnl3	0.56950044	1.76506993	4.529619805				
Ap2b1	1.37058659	11.5098535	4.526315789				
Gpatch4	0.45830468	3.98238272	4.524509804				
Exd2	0.19313719	63.58578399	4.52173913				
Scamp3	1.632015	32.58296889	4.516908213				
Npr3	0.20552049	9.31889399	4.516483516				
Smc4	0.49451569	12.177987	4.504761905				
Rerg	0.1527382	3.16384569	4.5				
Rin2	0.30960518	101.9059136	4.5				
Txnrd1	1.0849556	10.26855147	4.5				
Whamm	0.34179127	4.64323656	4.494047619				
Rnps1	1.45584065	175.2752107	4.493859649				
Bzw2	0.71954318	24.2309657	4.486956522				
Phf14	0.31459182	2.39365101	4.484794275				
Ndufs1	0.953778605	325.334613	4.483743842				
Trio	0.47606165	9.37123966	4.483743842				
Gnl1	0.843696	5.25436063	4.482758621				
Tjp2	0.21780993	86.11370514	4.474735605				
Xpo5	0.34625251	38.97187451	4.474285714				
Smg1	0.397235261	195.963149	4.472616633				
Ubap2l	0.57768714	15.69833017	4.471354167				
Psat1	0.67104926	3.09070162	4.465437788				
Zfp706	0.96211257	3.39417081	4.458204334				
Brd3	1.24176366	173.3607997	4.454545455				
Ssrp1	0.96300429	16.65541653	4.454545455				
Bub3	1.12001832	209.0101153	4.450549451				
Nup62	1.00586432	281.8804679	4.44988345				
Akap9	0.49553504	3.75098873	4.448780488				
Cnpy4	1.23237084	276.9943527	4.444602273				
Dhx37	0.38246466	4.71994779	4.428733032				
Tnfrsf12a	1.26216947	14.70664796	4.428571429				
Mthfd2	0.472790147	61.4755646	4.416216216				
Rgl1	0.501039	185.551351	4.408695652				
Shmt2	1.20865949	17.20405281	4.404761905				
Ywhaz	1.76917567	279.0402618	4.404761905				
Copb2	1.30545917	41.53826592	4.402173913				
0610009O20Rik	0.29388015	1.10533316	4.4				
Nfu1	1.57706502	15.783073	4.393939394				
Zmym1	0.16912349	52.69111222	4.393939394				
Ccnd1	0.52564538	83.02027467	4.392857143				
Gusb	1.19883883	28.24854847	4.38961039				
Ftsj2	0.3826043	26.88853004	4.388746803				
Cep164	0.25650618	56.28473295	4.388499299				
Mad1l1	0.34189978	1.7173029	4.387096774				
Nhlrc3	0.04962908	0.73141415	4.386363636				
Npl	0.03121659	0.8596543	4.386363636				
9430038I01Rik	0.24359932	92.21364025	4.382716049				
Cdh2	0.70125881	118.710364	4.380877743				
Pafah1b1	0.71315403	2.37735309	4.379310345				
U2af2	0.33533424	2.38945128	4.377880184				
Zfp428	0.53302934	2.95815462	4.376126126				
Arpp19	0.75818523	2.8242266	4.373333333				
Fnip1	0.56910354	92.76651045	4.369747899				
Ahi1	0.23945333	55.37090567	4.368421053				
Epb4.1l4a	0.09212951	0.81886844	4.368253968				
Rilpl2	0.58333687	97.43746266	4.367595819				
R3hcc1	0.53593099	53.44454539	4.366459627				
Leprel2	0.8689249	20.80715536	4.362428843				
Rock2	0.96200983	8.71316965	4.360902256				
Atf2	0.35880203	114.2788274	4.356725146				
Zfp644	0.12553104	3.42348224	4.354166667				
Smc3	0.42801402	26.93298236	4.349034749				
Rars	0.98908584	46.83226042	4.346774194				
Ccne1	0.51045815	23.11630048	4.346405229				
Mllt1	0.275342551	855.341809	4.345679012				
Tardbp	0.89119753	17.99360317	4.345263158				
Jun	0.38118896	9.17703171	4.342987805				
Anp32b	1.26407954	108.5462771	4.333333333				
Chmp5	1.48992465	23.04464464	4.333333333				
Pik3cb	0.30357168	101.7340257	4.333333333				
Spc25	0.19556784	5.48943804	4.331738437				
Smpdl3b	0.13885169	0.98501684	4.329				
Atxn7l3b	0.58436835	1.16109438	4.328180737				
Pdgfa	0.72599363	6.87734836	4.326530612				
Sept11	2.18365015	18.90443306	4.3125				
Ankrd17	0.8161455	8.46650683	4.305555556				
Gtf3a	0.766792721	191.598638	4.305555556				
Itpk1	0.27654843	30.54196202	4.304761905				
Cnpy2	1.28979034	53.75480562	4.303605313				
Cpt1a	0.29413354	74.83403315	4.294117647				
Usp38	0.17459012	0.35547882	4.292626728				
Cwc15	1.14563271	5.65231617	4.289473684				
Ppil1	0.58966407	5.25147516	4.287587413				
Crebbp	0.41295589	145.3087679	4.285714286				
Gcc1	0.17887741	12.75661847	4.281746032				
Mks1	0.13536126	1.81044855	4.275				
Fut8	0.39843578	77.99756115	4.274131274				
9930012K11Rik	0.13827773	6.45378609	4.266666667				
Sgpl1	0.826142682	234.502808	4.266666667				
E030011O05Rik	0.1319678	7.71419657	4.265306122				
Haus1	0.83862118	97.00683832	4.248275862				
Ier5	0.06339142	0.41441543	4.246666667				
Polr3c	0.0791555	0.44215042	4.24				
Mbd6	0.02404292	0.04078548	4.231884058				
C2cd2	0.18606864	2.94467897	4.229166667				
Dus4l	0.17046126	75.69654683	4.225925926				
Fez2	0.63548205	1.99562134	4.220689655				
Fosl2	0.93232734	159.638777	4.219096334				
Wdfy1	0.30714441	1.23344636	4.213592233				
Btrc	0.43530755	3.68682613	4.213036566				
Safb	0.45256225	3.89956475	4.212878788				
Dhx30	0.78101624	5.69455185	4.207706767				
Cops7a	0.76945485	2.61511728	4.207573633				
Ptms	1.08776124	206.8651627	4.207573633				
Sh3bp5	0.17406476	0.56318211	4.207087486				
Baiap2	0.44682356	16.41927252	4.204885737				
Cluap1	0.196668298	80.6853025	4.2				
Rab7	0.8462877	12.03858564	4.2				
Vrk1	0.39628445	16.45769393	4.2				
Ghdc	0.26305262	5.23063939	4.191321499				
Jrk	0.142229388	145.949145	4.19047619				
Klhl12	0.39052307	55.154584	4.19047619				
Mapk11	0.07283994	1.07170034	4.19047619				
Fam83h	0.086734573	37.5152522	4.187134503				
Adamtsl4	0.52531435	89.31388338	4.184210526				
Osbpl8	0.17214512	4.59777988	4.178743961				
Zc3h15	0.80619038	4.04260609	4.173913043				
Sp3	0.17417642	0.55846026	4.172727273				
Epha2	0.39170466	137.955848	4.171792948				
Aamp	0.92822974	3.67721587	4.168421053				
Etf1	1.01762696	7.51902153	4.166666667				
Svil	0.2549516	1.58214581	4.166666667				
Polr3a	0.32158904	0.89446385	4.161387632				
Surf4	1.90161759	15.34393808	4.16				
Mphosph8	0.38856911	1.34117315	4.153488372				
Bdh1	0.20147507	31.26029651	4.144				
Tcf25	1.03919799	3.44352053	4.142857143				
Rab10	0.8835148	5.00967171	4.140625				
Zc3h18	0.38844461	1.1601969	4.137195122				
Fdft1	0.60944794	11.49106108	4.135294118				
Prpf3	0.309513574	196.909738	4.133333333				
Tmem66	0.96558092	74.0975364	4.131221719				
Mtr	0.36006536	7.55450348	4.130909091				
Sox4	0.37055727	21.16357605	4.129411765				
Pbxip1	0.64254653	2.80623627	4.122222222				
Por	0.99325045	195.9059848	4.120048019				
Dnajc18	1.24219195	250.9002818	4.118431373				
Wdr37	0.44479308	62.25205918	4.117647059				
Tipin	0.65590578	62.78948571	4.11568323				
Tmem109	0.82689717	27.21345208	4.114035088				
Cdc25a	0.26181052	1.19238685	4.111111111				
Dhrs7	0.59845447	3.65994458	4.111111111				
Snrnp70	0.62235262	32.45703935	4.111111111				
Vkorc1	1.32067122	296.063116	4.106951872				
Sqle	1.04822618	245.2485099	4.106858054				
Rnf8	0.57354652	91.01289046	4.104201681				
Nup85	0.321870154	58.2490956	4.104				
Ing2	0.24042148	74.84818855	4.103896104				
Gar1	0.465009723	293.376181	4.100146199				
Trnau1ap	0.578727062	181.313946	4.100146199				
Cul1	0.84492862	2.96863203	4.097560976				
Ints5	0.43708185	2.31890871	4.096153846				
Ccnl1	0.48711004	3.13721789	4.093799682				
Zfp954	0.15431014	52.57053625	4.085714286				
AI314180	0.49849623	17.94389906	4.083841463				
Armc10	1.09964219	30.75453122	4.083646617				
Zfp513	0.27106026	125.9876554	4.081349206				
Arid1b	0.10947153	2.4942908	4.080882353				
Pdss1	0.31221094	1.45206186	4.067193676				
Tars	0.77577829	1.95630989	4.065217391				
Dbnl	0.68118863	1.77465637	4.064516129				
Me2	1.29842454	5.68094432	4.063545151				
Nasp	0.28477634	3.31772422	4.058823529				
Ralgapa1	0.54951772	106.4245703	4.058823529				
Nob1	0.88050758	25.26598817	4.05775076				
Cd47	0.84825498	2.71992451	4.053872054				
Mon1a	0.09249831	0.43176314	4.051282051				
Dgcr2	0.6011987	2.66209422	4.051012753				
Ndrg4	1.14721429	13.31098949	4.050784857				
N4bp1	0.92684556	114.2895086	4.047619048				
Slc16a3	0.16654587	8.96301217	4.045335658				
Ankrd32	0.05808092	0.67071373	4.043956044				
Gon4l	0.2790501	10.73001526	4.033333333				
Trp53bp2	0.28856046	26.35366846	4.030637255				
Ranbp3	0.34922385	0.90660289	4.02962963				
Nat10	0.67391082	51.30646582	4.028862479				
Phb	0.52373422	2.63696567	4.028571429				
Ctsz	0.98272597	4.21718433	4.022222222				
St3gal2	0.51017731	2.14195769	4.017301038				
Jmjd6	0.69135749	10.86579962	4.015444015				
Eif2ak2	0.32742792	2.63870662	4.0063593				
Sec24c	0.75334795	113.2520822	4				
Ssbp4	0.22336518	0.98757823	3.999216301				
Msto1	0.44852178	1.54392978	3.991911765				
Icam1	0.037231228	4.65313021	3.983050847				
Sesn1	0.05143308	0.29741971	3.981481481				
Bcas3	0.18352248	6.5245764	3.981176471				
Myo19	0.35091504	101.9239383	3.978632479				
Agpat4	0.22613146	0.65209718	3.977606178				
Irak2	0.40395819	93.23359537	3.975215517				
Foxj2	0.39785498	2.04583336	3.974025974				
Scaf4	0.21050088	0.55060451	3.974025974				
Arid4a	0.40068488	3.28660322	3.970889064				
Ric8b	0.29894701	3.01055981	3.97037037				
Dus1l	0.41063967	13.5400489	3.968181818				
Dusp1	0.58205512	16.21753922	3.957692308				
Get4	1.02987652	22.20073873	3.957692308				
Dhx16	0.19762929	8.63008106	3.956896552				
Prkag1	0.73119532	3.57392001	3.95256917				
Myo1e	0.62024303	124.8314927	3.951219512				
Prpsap1	0.93382568	103.03	3.948387097				
Vars2	0.14286988	2.6279028	3.947368421				
Btbd19	0.38814923	1.10159371	3.947231834				
Casp8ap2	0.41679883	121.9045359	3.944971537				
Setdb1	0.29520087	71.21484101	3.944055944				
Rhoc	0.7007908	2.03034575	3.942528736				
Ehd3	0.23917881	5.52864422	3.940934066				
Rrm2	0.89372068	98.48082745	3.94				
C1d	0.213966337	98.2713919	3.9375				
Ube2k	1.29382959	11.78976208	3.935926773				
Ddx59	0.23081769	10.8207321	3.932608696				
Clk1	0.62817872	12.12800887	3.926031294				
Aarsd1	0.18925289	0.56050093	3.925039872				
Iars2	0.63255645	3.72982251	3.923780488				
Ubxn4	0.92221281	3.36455939	3.923076923				
Tax1bp1	1.29862475	4.43105507	3.922600619				
Eif3e	1.16852144	259.212416	3.92173913				
Mtmr4	0.08013034	0.26734028	3.92				
Ccs	0.64730154	92.9521458	3.903703704				
Gpr125	0.48578697	26.84549589	3.897794118				
Foxp1	0.9184981	129.4728043	3.895833333				
Paqr7	0.0246342	0.29099557	3.895833333				
Ddit4	0.55705906	82.47156957	3.892961877				
Akap10	0.35685336	4.18672615	3.892045455				
Mtf2	0.44690905	43.49939718	3.885135135				
H2afy	0.49857573	1.25609888	3.878518519				
A330069E16Rik	0.06952974	1.56945683	3.87654321				
Aig1	0.19878833	2.76504262	3.875968992				
Ppfia1	0.399333912	175.245443	3.875598086				
Rnf185	0.555595652	387.140267	3.875598086				
Evc2	0.59778205	31.70523475	3.873015873				
Faf2	1.00453875	4.79173281	3.872282609				
Vps41	0.9688586	4.42941327	3.872222222				
Slc38a1	0.17065878	0.82247142	3.872053872				
Dap3	0.63948472	2.21404816	3.868421053				
Stx17	0.26963924	1.11786852	3.865406007				
Casc4	0.65478569	91.56457349	3.86327504				
Aldh18a1	0.9467383	25.27225993	3.854700855				
Surf6	0.36401292	6.35045838	3.853146853				
Nefm	0.016840342	1.85797311	3.851851852				
Igf2bp3	0.3606296	10.73266508	3.85				
Nop2	0.89603781	26.84653501	3.848484848				
Bag2	0.764339306	348.777278	3.84469697				
Dcbld1	0.35633223	115.7649809	3.84469697				
Ripk3	0.62618459	3.82126962	3.84469697				
Ccdc61	0.32097907	47.71442007	3.84040747				
Sdf2	1.0101089	38.78371761	3.84				
Dnajb1	0.8781931	17.15061087	3.834498834				
Irgm1	0.36487312	78.10481787	3.823529412				
Rexo1	0.39233475	7.45041008	3.820945946				
Tbc1d13	0.08518904	0.85755365	3.820069204				
Ppm1g	0.68988826	7.32590903	3.819444444				
Tbca	3.70189326	958.7061735	3.818181818				
Cuedc1	0.17751654	1.14661708	3.810810811				
Depdc5	0.19611636	5.68188473	3.808777429				
Ddx20	0.37411299	87.63278609	3.808080808				
Pmvk	0.28439355	1.92685261	3.807692308				
Gkap1	0.17427548	48.07680687	3.804166667				
Optn	0.2232776	0.74701241	3.803685897				
Cbx6	0.207630486	101.831355	3.803056027				
Uchl5	0.51505004	5.77665638	3.802083333				
Znrf1	0.574266326	352.092539	3.800327332				
Prpf31	0.67564538	2.71809778	3.8				
Rreb1	0.30662616	54.85956149	3.8				
Ddrgk1	0.2038714	0.49355749	3.795				
Zfp61	0.12673353	0.90588348	3.794642857				
Atxn2l	0.41129759	2.22958607	3.794430794				
Armc7	0.29710741	88.98400965	3.793103448				
Hmga1	0.24385714	3.21081339	3.791360294				
Cep57l1	0.2142866	0.99643597	3.789473684				
Fmnl3	0.18582252	1.13275739	3.789473684				
2810408I11Rik	0.03259797	0.27967748	3.786096257				
Rchy1	0.77485926	119.8966748	3.785576923				
Prkd3	0.19204967	0.90838707	3.784946237				
Pinx1	0.77423435	142.994243	3.78425656				
Fzd5	0.25267165	7.32285773	3.783928571				
Rpn1	1.1651704	12.96642595	3.783928571				
Hk1	0.63631301	1.25841133	3.782608696				
Mrpl48	0.88216934	415.6075633	3.782608696				
Hnrnpd	0.60545578	12.36429115	3.781881533				
Gss	0.58963838	34.74375219	3.781109445				
Tgfb1	0.52959837	123.7124993	3.78				
2200002D01Rik	0.21842366	1.8162392	3.778011204				
Ldhb	0.36193094	34.64682599	3.776671408				
AI846148	0.26215533	1.3931614	3.773793103				
Polr1c	0.64310278	4.62331353	3.772077376				
Aars2	0.34405559	62.84335805	3.771043771				
Zmym2	0.37192707	5.27575817	3.771043771				
Fubp1	0.48614071	1.24169063	3.766346992				
Ino80	0.28345822	4.44395485	3.761494253				
Gfm1	0.67255146	1.58716543	3.760914761				
Colec12	1.33323349	21.97496018	3.758241758				
Smarcd2	0.73695697	30.89540524	3.75422427				
Acot8	0.462224826	435.256237	3.752252252				
Chmp7	0.56837452	18.00571911	3.751388889				
Lmnb2	0.37837521	81.3127214	3.75				
Cpsf3l	1.05872402	199.8001852	3.74829932				
C1rl	0.12722333	1.27075489	3.742857143				
Cdc42bpa	0.82807005	186.6144458	3.742424242				
Snap47	0.77162528	8.23400392	3.742424242				
Ano6	0.71857593	1.28658954	3.739130435				
Pcolce2	0.17803163	2.02301014	3.738636364				
Cmtm7	0.87373685	27.89927194	3.737213404				
Rcc2	1.08058102	662.874383	3.735177866				
Ccnl2	0.78653669	91.92039856	3.735042735				
Pcif1	0.06206674	0.24984852	3.729166667				
Ube2n	0.1009651	2.78244427	3.729166667				
Rcan2	0.61250671	3.43017723	3.726780186				
Klf9	0.06160965	0.46535851	3.726315789				
Ddb1	1.84751365	580.555982	3.722222222				
Eml4	0.25348271	3.68346169	3.722222222				
Git1	0.42943665	145.3191987	3.722222222				
Erich1	0.49683783	120.3466951	3.718146718				
Coasy	0.31064712	67.05897994	3.717703349				
Eml2	0.07697422	0.90951351	3.717391304				
Fnbp4	0.14350219	1.57361314	3.717391304				
Impa2	0.32299171	23.72926863	3.714912281				
Pak4	0.09179073	0.65432895	3.714733542				
Nomo1	1.23438255	325.2003949	3.714285714				
Ldoc1l	0.08743748	1.31021972	3.71031746				
Cinp	0.84784625	14.77488965	3.709677419				
Prkag2	0.47313595	79.03291288	3.709677419				
Syf2	1.30726012	11.82686264	3.706666667				
Wbscr22	0.78499869	30.52347931	3.705882353				
Prelid1	1.2185849	170.3515053	3.704545455				
Anxa6	0.67731813	3.82628254	3.703448276				
Cuedc2	0.67144621	2.82619576	3.702479339				
Ctdp1	0.35430168	2.20423586	3.698901099				
Rnf121	0.61531739	6.79315196	3.69825784				
Gtpbp4	0.45682861	0.99912086	3.697674419				
Utp3	0.3274862	1.96822209	3.697674419				
Mvk	0.99147283	91.518178	3.695079695				
Pxmp2	0.02879816	0.07347228	3.692934783				
Epb4.1l1	0.44715932	5.80855241	3.692307692				
Trove2	0.77775782	102.4482315	3.690537084				
Bclaf1	0.57171298	1.04982612	3.687647522				
Mdm4	0.19507738	2.30825398	3.686197917				
Atp6v1d	1.15362466	7.60516328	3.685217391				
Hmgcr	1.28279401	209.7225417	3.684210526				
Prpf19	0.61519076	7.82588244	3.682336182				
Hnrnpf	0.19595194	0.37379994	3.680057389				
Arhgef10l	0.20254645	0.73784546	3.674463938				
Rnaseh2a	0.77794781	145.8412612	3.673469388				
Ahsa2	0.32730212	42.39906105	3.673218673				
Ttc1	0.712843883	336.459256	3.668907563				
Abcg2	1.08733565	105.9452839	3.666666667				
Nampt	0.45270055	94.55984069	3.664772727				
Amotl1	0.60285258	4.01913988	3.664215686				
Zfp94	0.12345909	2.38573283	3.663529412				
Trub1	0.2303009	39.38603998	3.659855769				
Rrp7a	0.37004302	1.16725267	3.658536585				
Srek1	0.73543235	123.4212038	3.656634747				
Wwc2	0.29063917	2.46178435	3.653571429				
Dnajc3	1.05820749	13.86945561	3.647966339				
Yeats2	0.37022576	6.54800552	3.64764268				
Fip1l1	0.5784298	42.55192276	3.64516129				
Lrrn4cl	0.20327233	4.6264819	3.642857143				
Gga2	0.15016298	0.42359853	3.64137931				
5830418K08Rik	0.17030366	1.61338434	3.641203704				
Ubr4	0.48878157	1.90130013	3.638709677				
Gorasp2	1.80163826	784.648045	3.638095238				
Paxip1	0.16933024	57.76127274	3.636363636				
Pdf	0.44713439	8.13414362	3.633333333				
Dnmt1	0.26333565	2.4324882	3.6328125				
Txnrd3	0.31701098	1.20071935	3.631578947				
Lrrc47	0.53476098	9.28548167	3.631245602				
Klhdc4	0.77355573	9.05291538	3.630725863				
Phax	0.7958885	5.78056173	3.629764065				
Ears2	0.2979407	16.47604233	3.62962963				
Sod2	0.47587845	2.49652542	3.628303495				
Ddx47	1.00697272	16.83594779	3.625				
Irf1	0.17417093	2.6317632	3.625				
Vcpip1	0.19243346	1.04330158	3.625				
Safb2	0.15716047	0.73936638	3.620689655				
Gcsh	0.78489989	12.01161406	3.619419643				
Med16	0.13875116	0.79099799	3.618538324				
Gys1	0.4242444	1.0644322	3.617463617				
Nudcd3	0.15630205	0.40040962	3.615384615				
Gata2	0.18354939	4.29925325	3.612903226				
BC005537	0.21830193	0.81579341	3.610969388				
Psmb3	0.67966462	2.5344972	3.609375				
Abcb8	0.27149429	110.170976	3.607341491				
Mvp	0.71353337	3.27672642	3.606060606				
Zfp157	0.24509581	77.93130085	3.604166667				
Btg2	0.59116286	41.62242721	3.603333333				
Coq6	0.31764809	134.344438	3.6				
Kctd12	0.28627647	1.80149826	3.591836735				
Igfbp4	0.755420386	55.4926825	3.588235294				
Sdf4	1.15891096	4.87809612	3.588235294				
Rrp15	0.52580222	3.71101857	3.585365854				
Toe1	0.52808309	114.6193803	3.584229391				
Arap1	0.447519807	247.437854	3.583579882				
Zfp113	0.13029318	1.86998513	3.581632653				
Adcy4	0.1180691	44.09928006	3.580896686				
Jam2	0.09624975	4.71012767	3.580896686				
Cbr4	0.46991354	99.17339166	3.578947368				
Chd8	0.56357417	178.6622186	3.575994318				
Fhod1	0.25683103	1.40695275	3.575757576				
Smtn	0.20039554	0.63637596	3.575431034				
Hexa	1.19534333	131.3476547	3.574468085				
Zfp276	0.24373758	7.07522381	3.572802198				
Apobec1	0.100278212	104.032955	3.57168784				
Gsta4	0.23567375	10.12260216	3.566666667				
Parp3	0.96993857	69.8566596	3.563218391				
Eif3i	1.37951513	32.9392034	3.562929062				
Notch1	0.116068476	50.4290763	3.562929062				
Ext2	1.41000745	12.48133379	3.559659091				
Wdr43	0.52371202	2.00379491	3.55952381				
Pccb	0.37512627	66.44258795	3.558454106				
Brpf1	0.17459915	4.61315032	3.557312253				
Slbp	0.64305945	68.95364412	3.554765292				
B630005N14Rik	0.31506183	2.33110274	3.545454545				
Ssbp1	0.95505991	3.33765787	3.545454545				
Cryzl1	0.9666842	161.2838254	3.541226216				
Ptrh2	0.95318332	68.60110418	3.54				
Fgfr2	0.46006878	77.35201679	3.539170507				
Bhlhe40	0.30258681	50.83269355	3.538796861				
Trp53i13	0.31951288	100.8045697	3.538796861				
Btbd9	0.19961944	1.69196423	3.538306452				
Tpd52l2	1.33224504	218.1045938	3.538306452				
Slc9a3r2	0.40890051	7.49084247	3.53728223				
Sumf1	0.70223344	3.99932811	3.536764706				
Nrp2	0.72894684	13.74577207	3.535714286				
Snx1	0.50339594	2.37203974	3.534883721				
Plekhb2	0.33702681	1.03526486	3.534482759				
Wdr26	0.78850271	3.55320654	3.534081796				
Timm44	0.28812741	1.00448162	3.533793103				
Rrp36	0.56885461	2.79327473	3.533333333				
Rab3ip	0.180449032	64.9242304	3.52887538				
Dgkd	0.41153583	13.26397617	3.528789659				
Plxnb2	0.9682553	5.34439499	3.528789659				
Spsb1	0.23205837	3.02158891	3.528789659				
Dhcr24	0.39860269	4.25964232	3.527078566				
Grsf1	0.64639058	60.29412829	3.527027027				
2210016F16Rik	0.92478275	4.43589865	3.526515152				
Diexf	0.283169078	232.384321	3.526315789				
Trim24	0.17157999	33.02589739	3.52173913				
Aldh2	1.02545435	15.76327591	3.518918919				
Elf2	0.37390773	1.2554516	3.516239316				
Def8	0.62815207	65.75392235	3.516129032				
Galns	0.31082624	2.3379791	3.515977444				
Stxbp3a	0.13541915	0.30262596	3.515977444				
Ubr2	0.81440498	2.86224113	3.51572327				
Arid5b	0.82492055	33.3309348	3.515625				
Gemin4	0.30903207	41.78751389	3.515625				
Trip6	1.18245614	99.07082209	3.515				
Cfdp1	0.65974343	3.19912607	3.512820513				
Atp13a1	0.48039893	1.52123424	3.50802139				
Nrd1	0.46162332	1.14956738	3.50802139				
Tubb5	0.34288451	1.66078718	3.506921556				
Vps16	0.71805854	3.56398806	3.506921556				
Serpine2	0.52780456	2.43033205	3.505263158				
Nosip	0.75336878	3.86761425	3.504542278				
Apoa1bp	1.03467362	4.17438022	3.504464286				
Tradd	0.69654392	8.53268418	3.500986193				
Plk2	0.709707224	134.542248	3.496296296				
Dvl1	0.60924068	10.27683275	3.49002849				
Syce2	0.10786553	4.8200904	3.489304813				
Brwd1	0.80679855	159.6507731	3.487179487				
Rngtt	0.35914313	1.30038653	3.485636115				
Gpr107	0.85253909	28.23060396	3.485606061				
Ccl25	0.09634277	1.20902794	3.484848485				
Atp6v0b	1.68951763	265.9919982	3.482142857				
Fbln5	1.11800626	136.724405	3.482142857				
Psmc1	2.10678596	693.4738243	3.480555556				
Plin3	0.78826036	130.0788008	3.48				
Snapc1	0.52382922	9.99137075	3.476724138				
Wdr35	0.29715625	28.86039776	3.473684211				
Snw1	0.83264659	12.62001633	3.473484848				
Eml3	0.28849157	49.09093846	3.47311828				
Obsl1	0.16012352	3.63869876	3.471604938				
Dcaf5	0.40119744	4.75502586	3.470689655				
Rbm14	0.28833917	1.42275488	3.470689655				
Bccip	1.29388022	169.5821468	3.469827586				
Otud4	0.29433853	80.0480728	3.469827586				
Guk1	1.03559245	44.44432546	3.469565217				
Nup54	0.41834946	34.13233134	3.469387755				
Tada2a	0.3903459	1.7851884	3.46875				
Ttl	0.25557785	0.93834621	3.466666667				
Suclg1	0.99049134	22.70773294	3.458128079				
Mkln1	0.45188441	0.92003759	3.457446809				
Bod1l	0.7344853	6.99250905	3.457070707				
Phf21a	0.33552403	107.8565058	3.456349206				
Rpl21	0.10653402	0.38311076	3.45625				
Prpf4	0.77319306	181.5951285	3.452773613				
Usp36	0.58141938	9.08159759	3.451706609				
Otub1	2.05833578	64.76927957	3.45				
Tmem37	0.37042348	15.04898373	3.448165869				
Pold3	0.31441292	61.66422911	3.447926267				
Chmp6	0.48828034	1.3746364	3.446331522				
Suv420h2	0.33882302	54.89394694	3.445333333				
Commd7	0.74537309	3.29791254	3.444444444				
Bysl	0.62289168	2.66373137	3.442105263				
Prr24	0.6271647	146.0287131	3.441568047				
Hat1	0.33396861	1.46972445	3.440131579				
Ndufs8	1.61551797	88.60716571	3.438914027				
Stxbp5	0.13447974	90.25416161	3.438914027				
Ltbr	0.79824797	3.91892969	3.438419118				
Gns	1.14028342	5.77242931	3.437037037				
Gse1	0.4758895	84.15944697	3.437037037				
Ociad1	1.20117335	3.84575201	3.436363636				
Htt	0.41078286	1.63920102	3.435261708				
H13	1.37509084	175.379819	3.433333333				
Slc23a2	0.38866471	47.61211231	3.432512315				
Gtf2f1	0.38248457	2.44927304	3.429232804				
Cops8	1.36531986	30.45922288	3.424761905				
Timm13	1.41234109	34.77248664	3.418803419				
Pramef8	0.43844507	7.30219393	3.415686275				
Srrt	0.94908562	79.79740759	3.411138411				
Atp6v1e1	1.31565785	28.14668126	3.407862408				
